"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 21752) for  facilities in All Industries, for  All chemicals,   U.S., 2022"
"Row #","Facility","TRIF ID","Latitude","Longitude","Total On-site","Total Off-site","Total On- and "
" "," "," "," "," ","Disposal or","Disposal or","Off-site"
" "," "," "," "," ","Other Releases","Other Releases","Disposal or"
" "," "," "," "," ","","","Other Releases"
"1","RED DOG OPERATIONS.90 MILES N OF KOTZEBUE, KOTZEBUE ALASKA 99752 (NORTHWEST ARCTIC BOROUGH)","99752RDDGP90MIL","              68.062","            -162.855","     658,664,879.5856497","               6.8200000","     658,664,886.4056497"
"2","NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC.27 MILES N OF CARLIN NEVADA, CARLIN NEVADA 89822 (ELKO)","89803BRRCK27MIL","              40.974","            -116.350","     210,324,879.3002377","         253,078.9000000","     210,577,958.2002377"
"3","KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT.8362 WEST 10200 SOUTH, BINGHAM CANYON UTAH 84006 (SALT LAKE)","84006KNNCT12300","              40.517","            -112.150","     132,350,926.2105345","          35,459.1000000","     132,386,385.3105345"
"4","HECLA GREENS CREEK MINING CO.13401 GLACIER HWY, JUNEAU ALASKA 99801 (JUNEAU CITY AND BOROUGH)","99801KNNCT13401","              58.082","            -134.641","      89,988,923.9000000","             831.0000000","      89,989,754.9000000"
"5","NEVADA GOLD MINES LLC - CARLIN SOUTH AREA.6 MILES N OF CARLIN, CARLIN NEVADA 89822 (EUREKA)","89822NWMNT6MAIL","              40.781","            -116.186","      42,961,471.0000000","          17,353.4000000","      42,978,824.4000000"
"6","MONTANA RESOURCES LLC.600 SHIELDS AVE, BUTTE MONTANA 59701 (SILVER BOW)","59701MNTNR600SH","              46.008","            -112.502","      40,938,802.6400000","               3.2529000","      40,938,805.8929000"
"7","SAND HILLS GAS PLANT.5880 FM-1233, CRANE TEXAS 79731 (CRANE)","7973WSNDHL588FM","              31.502","            -102.640","      40,458,070.0000000","              55.0000000","      40,458,125.0000000"
"8","BASIN ELECTRIC ANTELOPE VALLEY STATION.420 COUNTY RD 26, BEULAH NORTH DAKOTA 58523 (MERCER)","58523NTLPV294CO","              47.370","            -101.838","      25,630,227.0177187","       9,087,862.0000000","      34,718,089.0177187"
"9","FREEPORT-MCMORAN MIAMI INC.5701 NEW ST, CLAYPOOL ARIZONA 85532 (GILA)","85532NSPRTPOBOX","              33.413","            -110.857","      27,007,040.4017413","         402,790.5000000","      27,409,830.9017413"
"10","NORTH AMERICAN STAINLESS.6870 US 42 E, GHENT KENTUCKY 41045 (CARROLL)","41045NRTHMUS42E","              38.728","             -85.072","       5,258,197.5500000","      18,169,387.0600000","      23,427,584.6100000"
"11","NEVADA GOLD MINES LLC - PHOENIX MINE.12 MI SE OF BATTLE MOUNTAIN COPPER CANYON FACILITY, BATTLE MOUNTAIN NEVADA 89820 (LANDER)","89820BTTLMCOPPE","              40.501","            -117.106","      23,229,239.8000000","           7,075.0000000","      23,236,314.8000000"
"12","CHEMICAL WASTE MANAGEMENT.36964 ALABAMA HWY 17, EMELLE ALABAMA 35459 (SUMTER)","35459CHMCLHWY17","              32.804","             -88.312","      22,088,032.5995690","          10,015.0000000","      22,098,047.5995690"
"13","ROBINSON NEVADA MINING CO.4232 W WHITE PINE CO RD 44, RUTH NEVADA 89319 (WHITE PINE)","89319BHPCP7MILE","              39.281","            -114.992","      20,899,625.4000000","             146.0000000","      20,899,771.4000000"
"14","ASCEND PERFORMANCE MATERIALS OPERATIONS LLC.3000 OLD CHEMSTRAND RD, CANTONMENT FLORIDA 32533 (ESCAMBIA)","32533MNSNT3000O","              30.597","             -87.252","      20,542,782.1000000","             351.8900000","      20,543,133.9900000"
"15","KENNECOTT UTAH COPPER SMELTER & REFINERY.12000 WEST 2100 SOUTH & 11500 W 2100 S, MAGNA UTAH 84044 (SALT LAKE)","84006KNNCT8362W","              40.734","            -112.141","      19,218,551.6693960","           6,292.0631800","      19,224,843.7325760"
"16","INEOS NITRILES USA LLC           GREEN LAKE PLANT.TEXAS HWY 185, PORT LAVACA TEXAS 77979 (CALHOUN)","77979BPCHMTEXAS","              28.571","             -96.833","      19,144,998.1100000","           4,891.9000000","      19,149,890.0100000"
"17","ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT.1 MONSANTO RD FM 2917, ALVIN TEXAS 77511 (BRAZORIA)","77511SLTNCFM291","              29.231","             -95.196","      18,793,281.2400000","             688.0000000","      18,793,969.2400000"
"18","NEVADA GOLD MINES LLC-CORTEZ DISTRICT.30 MILES S OF I-80 BETWEEN STATE ROUTE 306 & STATE ROUTE 278, CRESCENT VALLEY NEVADA 89821 (LANDER)","89821CRTZGSTARA","              40.205","            -116.666","      17,315,365.9000000","           1,974.8000000","      17,317,340.7000000"
"19","NYRSTAR CLARKSVILLE INC.1800 ZINC PLANT RD, CLARKSVILLE TENNESSEE 37040 (MONTGOMERY)","37040SVGZN1800Z","              36.518","             -87.403","      16,932,901.2725900",".","      16,932,901.2725900"
"20","FORT KNOX MINE.1 FORT KNOX RD, FAIRBANKS ALASKA 99712 (FAIRBANKS NORTH STAR BOROUGH)","99707FRTKN1FORA","              65.000","            -147.358","      16,637,840.6003025","                .1000000","      16,637,840.7003025"
"21","HECLA LTD LUCKY FRIDAY MINE UNIT.397 FRIDAY AVENUE, MULLAN IDAHO 83846 (SHOSHONE)","83846LCKYFI90EX","              47.470","            -115.783","      16,340,192.5611500","               9.2851800","      16,340,201.8463300"
"22","BAYER CROPSCIENCE LP.12501 RIVER RD, LULING LOUISIANA 70070 (ST. CHARLES PARISH)","70070MNSNTRIVER","              29.924","             -90.352","      16,328,396.0000000","               4.0000000","      16,328,400.0000000"
"23","NEVADA GOLD MINES LLC - TURQUOISE RIDGE.28 MILES NE OF GOLCONDA, GOLCONDA NEVADA 89414 (HUMBOLDT)","89414GTCHL28MIN","              41.216","            -117.212","      15,561,218.4000000","              15.6000000","      15,561,234.0000000"
"24","TM DEER PARK SERVICES LP.2525 BATTLEGROUND RD, DEER PARK TEXAS 77536 (HARRIS)","77536DSPSL2525B","              29.734","             -95.090","      14,473,211.1900000","           6,792.3000000","      14,480,003.4900000"
"25","CLEAN HARBORS GRASSY MOUNTAIN LLC.3 MILES E 7 MILES N EXIT 41 ON I-80, GRANTSVILLE UTAH 84029 (TOOELE)","84074PPMNCI80XX","              40.825","            -113.208","      14,354,243.7844224","          24,937.5782043","      14,379,181.3626267"
"26","CLEVELAND-CLIFFS STEEL CORP (ROCKPORT WORKS ).6500 NORTH U.S. 231, ROCKPORT INDIANA 47635 (SPENCER)","47635KSTLC6500N","              37.985","             -87.026","      13,386,782.9000000","         705,498.0000000","      14,092,280.9000000"
"27","ONEOK ROCKIES MIDSTREAM LLC - GRASSLANDS GAS PLANT.16001 BENNIE PEER ROAD, ALEXANDER NORTH DAKOTA 58831 (MCKENZIE)","5883WNKRCK161BE","              47.591","            -103.999","      13,924,601.0000000","          10,677.8700000","      13,935,278.8700000"
"28","SMOKY VALLEY COMMON OPERATION.#1 SMOKY VALLEY MINE RD 45 MI N OF TONOPAH ON SR, ROUND MOUNTAIN NEVADA 89045 (NYE)","89045SMKYV1SMOK","              38.716","            -117.102","      13,386,668.5000000","           4,776.9000000","      13,391,445.4000000"
"29","CHEMOURS DELISLE PLANT.7685 KILN DELISLE RD, PASS CHRISTIAN MISSISSIPPI 39571 (HARRISON)","39571DPNTD7685K","              30.389","             -89.309","      13,304,834.4022785","           9,552.3860012","      13,314,386.7882797"
"30","TRONOX LLC.40034 TRONOX RD, HAMILTON MISSISSIPPI 39746 (MONROE)","39746KRRMCUSHWY","              33.731","             -88.453","      13,208,119.6056280",".","      13,208,119.6056280"
"31","CORNERSTONE CHEMICAL CO.10800 RIVER RD, WESTWEGO LOUISIANA 70094 (JEFFERSON PARISH)","70094MRCNC10800","              29.957","             -90.269","      13,169,604.0900000","          23,175.4000000","      13,192,779.4900000"
"32","CLEAN HARBORS BUTTONWILLOW LLC.2500 WEST LOKERN ROAD, BUTTONWILLOW CALIFORNIA 93206 (KERN)","93206SFTYK2500W","              35.402","            -119.613","      13,126,840.2060946","           4,569.3121790","      13,131,409.5182736"
"33","BEFESA ZINC METAL LLC.484 HICKS GROVE RD, MOORESBORO NORTH CAROLINA 28114 (RUTHERFORD)","2811WHRSHD484HI","              35.191","             -81.849","           5,947.0000000","      12,959,474.0100000","      12,965,421.0100000"
"34","CLEVELAND-CLIFFS BURNS HARBOR LLC.250 W US HWY 12, BURNS HARBOR INDIANA 46304 (PORTER)","46304BTHLHBURNS","              41.634","             -87.131","       9,387,230.1771799","       3,067,637.6840000","      12,454,867.8611799"
"35","USS GARY WORKS.1 N BROADWAY, GARY INDIANA 46402 (LAKE)","46402SSGRYONENO","              41.613","             -87.311","      11,870,525.8890619","         152,146.2100000","      12,022,672.0990619"
"36","CF INDUSTRIES NITROGEN LLC.39018 HWY 3089, DONALDSONVILLE LOUISIANA 70346 (ASCENSION PARISH)","70346CFNDSHWY30","              30.099","             -90.956","      10,138,792.0000000","          20,543.0000000","      10,159,335.0000000"
"37","US ECOLOGY NEVADA INC..12 MILES S OF BEATTY ON HWY 95, BEATTY NEVADA 89003 (NYE)","89003SCLGYHWY95","              36.768","            -116.694","       8,951,319.0182544","          17,594.5069266","       8,968,913.5251810"
"38","BUICK MINE/MILL.270 FOREST ROAD 2231, BOSS MISSOURI 65440 (IRON)","65440BCKMNHWYKK","              37.606","             -91.123","       8,415,696.3500000","          24,163.0000000","       8,439,859.3500000"
"39","US ECOLOGY TEXAS INC.3277 COUNTY RD 69, ROBSTOWN TEXAS 78380 (NUECES)","78380TXSCLPETRO","              27.731","             -97.652","       7,832,497.2093897","         539,255.6000000","       8,371,752.8093897"
"40","COLSTRIP STEAM ELECTRIC STATION.WILLOW AVE, COLSTRIP MONTANA 59323 (ROSEBUD)","59323MNTNPWILLO","              45.883","            -106.613","       8,370,464.0138176","              62.8100000","       8,370,526.8238176"
"41","U.S. ARMY RADFORD ARMY AMMUNITION PLANT.RT 114 RADFORD ARMY AMMUNITION PLANT, RADFORD VIRGINIA 24141 (MONTGOMERY)","24141SDDSRPOBOX","              37.181","             -80.541","       8,201,876.9102258","           7,437.1635000","       8,209,314.0737258"
"42","RUBICON LLC.9156 HIGHWAY 75, GEISMAR LOUISIANA 70734 (ASCENSION PARISH)","70734RBCNN9156H","              30.199","             -91.009","       7,976,952.0015435","         172,405.0000000","       8,149,357.0015435"
"43","POGO MINE.50 MILE POGO MINE RD, DELTA JUNCTION ALASKA 99737 (SOUTHEAST FAIRBANKS CENSU)","99737PGMNX38MIL","              64.450","            -144.940","       7,978,847.6160600","               8.3189122","       7,978,855.9349722"
"44","CHEVRON ORONITE CO LLC - OAK POINT PLANT.10285 HIGHWAY 23, BELLE CHASSE LOUISIANA 70037 (PLAQUEMINES PARISH)","70037CHVRNHIGHW","              29.808","             -90.010","          27,730.0100000","       7,797,848.9900000","       7,825,579.0000000"
"45","OCEANAGOLD HAILE GOLD MINE.6911 SNOWY OWL RD, KERSHAW SOUTH CAROLINA 29067 (LANCASTER)","2906WCNGLD6911S","              34.597","             -80.533","       7,823,506.9214000",".","       7,823,506.9214000"
"46","CLEVELAND-CLIFFS STEEL CORP DEARBORN WORKS.4001 MILLER RD, DEARBORN MICHIGAN 48120 (WAYNE)","48121RGSTL3001M","              42.302","             -83.163","          22,545.5900000","       7,776,470.9600000","       7,799,016.5500000"
"47","CHEMOURS JOHNSONVILLE PLANT.1950 DU PONT RD, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)","37134DPNTJ1DUPO","              36.043","             -87.982","       7,703,404.2581456","              34.0000290","       7,703,438.2581746"
"48","DAGGER DRAW GAS PLANT.278 PIPELINE RD, ARTESIA NEW MEXICO 88210 (EDDY)","8821WDGGRD278PI","              32.716","            -104.446","       7,574,342.0800000",".","       7,574,342.0800000"
"49","HARRISON POWER STATION.RT 20, HAYWOOD WEST VIRGINIA 26366 (HARRISON)","26366HRRSNRTE20","              39.385","             -80.332","       7,433,560.7847187",".","       7,433,560.7847187"
"50","WIELAND METALS INC.567 NORTHGATE PKWY, WHEELING ILLINOIS 60090 (COOK)","60090WLNDM567NO","              42.150","             -87.927","             500.0000000","       7,238,226.0000000","       7,238,726.0000000"
"51","MENTONE GAS PLANT.2261 PIPELINE RD, MENTONE TEXAS 79754 (LOVING)","7975WMNTNG2261P","              31.786","            -103.681","           4,930.0000000","       7,227,935.0000000","       7,232,865.0000000"
"52","PRAIRIE STATE GENERATING CO.1739 NEW MARIGOLD ROAD, MARISSA ILLINOIS 62257 (WASHINGTON)","6225WPRRST1739N","              38.277","             -89.667","       7,159,354.3658176",".","       7,159,354.3658176"
"53","INEOS NITRILES USA LLC.1900 FORT AMANDA RD, LIMA OHIO 45804 (ALLEN)","45805BPCHMFORTA","              40.714","             -84.132","       7,138,643.0000000","              35.0000000","       7,138,678.0000000"
"54","ANGUS CHEMICAL CO.350 LOUISIANA HWY 2, STERLINGTON LOUISIANA 71280 (OUACHITA PARISH)","71280NGSCHLAHWY","              32.691","             -92.083","       6,971,678.0000000",".","       6,971,678.0000000"
"55","PINTO VALLEY MINE.2911 N FOREST SERVICE RD 287, MIAMI ARIZONA 85539 (GILA)","85539BHPCPHWY60","              33.417","            -110.984","       6,773,096.0000000",".","       6,773,096.0000000"
"56","MAX ENVIRONMENTAL -- YUKON FACILITY.233 MAX LN, YUKON PENNSYLVANIA 15698 (WESTMORELAND)","15698MLLSRCEMET","              40.212","             -79.698","       6,766,674.3000000",".","       6,766,674.3000000"
"57","DYNO NOBEL- ST.HELENS PLANT.63149 COLUMBIA RIVER HWY, DEER ISLAND OREGON 97054 (COLUMBIA)","97051CHVRN63149","              45.912","            -122.829","       6,698,462.4400000",".","       6,698,462.4400000"
"58","SABIC INNOVATIVE PLASTICS MT. VERNON LLC.1 LEXAN LN, MOUNT VERNON INDIANA 47620 (POSEY)","47620GPLSTLEXAN","              37.907","             -87.927","       1,970,010.0000000","       4,700,720.0000000","       6,670,730.0000000"
"59","UNION PROCESSING SYSTEMS LLC.16185 CREIGHTON RD, CONROE TEXAS 77302 (MONTGOMERY)","7730WNNPRC16185","              30.292","             -95.386","       6,442,267.0000000",".","       6,442,267.0000000"
"60","ASARCO LLC MISSION COMPLEX.4201 W PIMA MINE RD, SAHUARITA ARIZONA 85629 (PIMA)","85629SRCNC4201W","              31.998","            -111.052","       6,416,123.3867403",".","       6,416,123.3867403"
"61","EAGLE MINE LLC-HUMBOLDT MILL.4547 COUNTY RD 601, CHAMPION MICHIGAN 49814 (MARQUETTE)","4981WGLMNL4547C","              46.485","             -87.905","       6,376,285.1357620","           2,785.1300000","       6,379,070.2657620"
"62","OUTOKUMPU STAINLESS USA LLC.1 STEEL DR, CALVERT ALABAMA 36513 (MOBILE)","3651WTHYSS1THYS","              31.152","             -87.986","       1,346,728.8200000","       4,913,932.0000000","       6,260,660.8200000"
"63","MALJAMAR GAS PROCESSING PLANT.1001 CONOCO ROAD, MALJAMAR NEW MEXICO 88264 (LEA)","8826WMLJMR11CNC","              32.814","            -103.772","       5,985,744.8400000",".","       5,985,744.8400000"
"64","INTERNATIONAL PAPER CO.890 IP LN, VALLIANT OKLAHOMA 74764 (MCCURTAIN)","74764WYRHSHIGHW","              33.998","             -95.112","       5,867,182.1986725",".","       5,867,182.1986725"
"65","CERRO WIRE LLC.1002 IND US TRIAL WAY, CROTHERSVILLE INDIANA 47229 (JACKSON)","47229CRRWR1002I","              38.787","             -85.838","                .0000000","       5,791,221.0000000","       5,791,221.0000000"
"66","ALABAMA RIVER CELLULOSE LLC.2373 LENA LANDEGGER HWY, PERDUE HILL ALABAMA 36470 (MONROE)","36470LBMRVOFFHI","              31.580","             -87.490","       5,668,787.0636892",".","       5,668,787.0636892"
"67","LOUISIANA PIGMENT CO LP.3300 BAYOU D'INDE RD, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669KRNSL3300B","              30.196","             -93.307","       5,563,972.0432575","          19,831.0002549","       5,583,803.0435124"
"68","BRUSHY CREEK MINE/MILL.10827 HIGHWAY KK, BOSS MISSOURI 65440 (REYNOLDS)","63629BRSHYHWYKK","              37.538","             -91.129","       5,564,912.9000000","           7,293.0000000","       5,572,205.9000000"
"69","DTE ELECTRIC CO - MONROE POWER PLANT.3500 E FRONT ST, MONROE MICHIGAN 48161 (MONROE)","48161DTRTD3500E","              41.889","             -83.344","       5,518,414.8460260","              16.9100001","       5,518,431.7560261"
"70","GAVIN POWER LLC.7397 N STATE RT 7, CHESHIRE OHIO 45620 (GALLIA)","45620MRCNL7397N","              38.935","             -82.116","       5,460,668.4882995","             153.5800000","       5,460,822.0682995"
"71","INEOS PIGMENTS USA INC.2426 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)","44004SCMCH2426M","              41.889","             -80.764","       5,265,529.6290657",".","       5,265,529.6290657"
"72","DELAWARE CITY REFINERY.4550 WRANGLE HILL RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)","19706TXCDL2000W","              39.591","             -75.634","       5,237,445.9910893","           4,074.1040000","       5,241,520.0950893"
"73","ADM DECATUR COMPLEX.4666 FARIES PKWY E, DECATUR ILLINOIS 62526 (MACON)","62526DMCRN4666F","              39.870","             -88.891","       3,798,285.0000000","       1,432,745.1700000","       5,231,030.1700000"
"74","CHEMICAL WASTE MANAGEMENT INC.35251 OLD SKYLINE RD, KETTLEMAN CITY CALIFORNIA 93239 (KINGS)","93239CHMCL35251","              35.959","            -120.009","       5,177,762.4436702","           2,946.8000000","       5,180,709.2436702"
"75","CLEVELAND-CLIFFS CLEVELAND WORKS LLC.3060 EGGERS AVE, CLEVELAND OHIO 44105 (CUYAHOGA)","44105SGCLV3060E","              41.463","             -81.668","       2,745,839.7530000","       2,405,460.0900000","       5,151,299.8430000"
"76","CLEVELAND-CLIFFS STEEL LLC.3001 DICKEY RD, EAST CHICAGO INDIANA 46312 (LAKE)","46312LTVST3001D","              41.651","             -87.459","          69,282.4300000","       5,050,895.4700000","       5,120,177.9000000"
"77","KOCH FERTILIZER ENID LLC.1619 S 78TH 5 MILES E OF ENID ON HWY 412, ENID OKLAHOMA 73701 (GARFIELD)","73701FRMLN1MILE","              36.379","             -97.761","       5,077,373.0000000","           3,208.0000000","       5,080,581.0000000"
"78","VICKERY ENVIRONMENTAL INC..3956 STATE RT 412, VICKERY OHIO 43464 (SANDUSKY)","43464WSTMN3956S","              41.368","             -82.983","       5,041,977.2198700","          10,313.2899887","       5,052,290.5098587"
"79","SMITHFIELD PACKAGED MEATS CORP - SIOUX FALLS.1400 N WEBER AVE, SIOUX FALLS SOUTH DAKOTA 57117 (MINNEHAHA)","57117JHNMR1400N","              43.563","             -96.719","       4,791,377.0000000","         159,557.2600000","       4,950,934.2600000"
"80","FREEPORT-MCMORAN MORENCI INC.4521 N US HWY 191, MORENCI ARIZONA 85540 (GREENLEE)","85540PHLPS4521U","              33.065","            -109.342","       4,892,677.0008004","          24,119.7000000","       4,916,796.7008004"
"81","MINNKOTA POWER COOPERATIVE INC. MILTON R. YOUNG STATION.3401 24 ST SW, CENTER NORTH DAKOTA 58530 (OLIVER)","58530MLTNR34012","              47.066","            -101.214","       4,278,439.7908379","         631,861.8639400","       4,910,301.6547779"
"82","SWEETWATER MINE/MILL.1382 SWEETWATER MINE ROAD, ELLINGTON MISSOURI 63638 (REYNOLDS)","63638SWTMMHIGHW","              37.359","             -91.147","       4,853,606.2500000","           5,355.0000000","       4,858,961.2500000"
"83","USS-CLAIRTON PLANT.400 STATE ST MS 71, CLAIRTON PENNSYLVANIA 15025 (ALLEGHENY)","15025SSCLR400ST","              40.305","             -79.877","       4,728,585.7500000","              88.8000000","       4,728,674.5500000"
"84","BLANCHARD REFINING CO LLC.2401 5TH AVE S, TEXAS CITY TEXAS 77590 (GALVESTON)","7759WBLNCH2415T","              29.374","             -94.925","       4,693,598.3006897","           9,641.8000000","       4,703,240.1006897"
"85","INTERNATIONAL PAPER CO - MANSFIELD MILL.1202 LOUISIANA HWY 509 NE, MANSFIELD LOUISIANA 71052 (DE SOTO PARISH)","71052NTRNTHWY50","              32.159","             -93.557","       4,642,804.5538257",".","       4,642,804.5538257"
"86","FREEPORT-MCMORAN BAGDAD INC.1 MAIN ST, BAGDAD ARIZONA 86321 (YAVAPAI)","86321CYPRS1MAIN","              34.568","            -113.176","       4,544,102.3002227","          27,839.9000000","       4,571,942.2002227"
"87","CHEMICAL WASTE MANAGEMENT - LA KE CHARLES FACILITY.7170 JOHN BRANNON RD, SULPHUR LOUISIANA 70665 (CALCASIEU PARISH)","70665CHMCL7170J","              30.120","             -93.401","       4,554,119.0017001","           4,950.0000000","       4,559,069.0017001"
"88","HERITAGE ENVIRONMENTAL SERVICES LLC.7901 W MORRIS ST, INDIANAPOLIS INDIANA 46231 (MARION)","46231HRTGN7901W","              39.748","             -86.300","           2,341.1400000","       4,500,119.0300000","       4,502,460.1700000"
"89","US ARMY HOLSTON ARMY AMMUNITION PLANT.4509 W STONE DR, KINGSPORT TENNESSEE 37660 (HAWKINS)","37660HLSTNWESTS","              36.550","             -82.635","         110,888.7100000","       4,355,736.0000000","       4,466,624.7100000"
"90","P4 PRODUCTION LLC.1853 HWY 34, SODA SPRINGS IDAHO 83276 (CARIBOU)","83276MNSNTHIGHW","              42.687","            -111.588","       4,459,431.3200000","           1,093.2350000","       4,460,524.5550000"
"91","DYNO NOBEL INC-CHEYENNE PLANT.8305 OTTO RD, CHEYENNE WYOMING 82001 (LARAMIE)","82007DYNNB835TT","              41.095","            -104.908","       4,422,711.0000000",".","       4,422,711.0000000"
"92","BUICK RESOURCE RECYCLING FACILITY LLC.18594 HWY KK, BOSS MISSOURI 65440 (IRON)","65440BCKSMHIGHW","              37.637","             -91.132","       2,414,998.9748879","       1,968,029.6380000","       4,383,028.6128879"
"93","BASF CORP ATTAPULGUS OPS.141 ENGELHARD RD, ATTAPULGUS GEORGIA 39815 (DECATUR)","31715NGLHRDEPOT","              30.738","             -84.494","       4,360,968.0000000","             219.0000000","       4,361,187.0000000"
"94","INTERNATIONAL METALS RECLAMATION CO LLC INMETCO.ONE INMETCO DR, ELLWOOD CITY PENNSYLVANIA 16117 (LAWRENCE)","16117NTRNTSR488","              40.859","             -80.259","           2,799.8300000","       4,334,094.9300000","       4,336,894.7600000"
"95","NASA MARSHALL SPACE FLIGHT CENTER.NASA-AS01 BLDG 4200, HUNTSVILLE ALABAMA 35812 (MADISON)","35812NSMRSMARSH","              34.631","             -86.669","           5,311.5400000","       4,290,750.3700000","       4,296,061.9100000"
"96","W H SAMMIS PLANT.STATE RT 7, STRATTON OHIO 43961 (JEFFERSON)","43961FRSTNSTATE","              40.531","             -80.631","       3,117,872.9022050","       1,166,775.1000000","       4,284,648.0022050"
"97","CLEAN HARBORS LONE MOUNTAIN LLC LONE MOUNTAIN FACILITY.5 MILES E & 1 MILE N OF JUNCTION US HWYS 412 & 281, WAYNOKA OKLAHOMA 73860 (MAJOR)","73860SFTYK5MILE","              36.434","             -98.803","       4,198,867.6880360","          14,581.4398010","       4,213,449.1278370"
"98","ECOVYST CATALYST TECHNOLOGIES LLC.1700 KANSAS AVE, KANSAS CITY KANSAS 66105 (WYANDOTTE)","66105PQCRP17THS","              39.087","             -94.648","          93,617.0000000","       4,082,930.8000000","       4,176,547.8000000"
"99","SAFETY-KLEEN SYSTEMS INC..22211 BANGO RD, FALLON NEVADA 89406 (CHURCHILL)","8940WBNGRF22221","              39.499","            -119.039","           2,321.1920000","       4,131,503.6300000","       4,133,824.8220000"
"100","CLEAN HARBORS EL DORADO LLC.309 AMERICAN CIR UNION, EL DORADO ARKANSAS 71730 (UNION)","71730NVRNM309AM","              33.204","             -92.631","       4,006,030.7708043","          87,827.0000000","       4,093,857.7708043"
" ","Total of Top 100 facilities","100"," "," ","   1,963,951,387.0780795","     129,932,217.7119970","   2,093,883,604.7900765"
" ","Total disposal or other releases omitting double counted amounts"," "," "," "," "," ","   2,081,076,612.5614398"
"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in grams), top 100 facilities (of 797) for  facilities in All Industries, for  Dioxin and Dioxin-like compounds, U.S., 2022"
"Row #","Facility","TRIF ID","Latitude","Longitude","Total On-site","Total Off-site","Total On- and "
" "," "," "," "," ","Disposal or","Disposal or","Off-site"
" "," "," "," "," ","Other Releases","Other Releases","Disposal or"
