"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 21752) for  facilities in All Industries, for  All chemicals,   U.S., 2022"
" "," "," "," "," ","","","Other Releases"
"1","WESTLAKE VINYLS INC.2468 IND US TRIAL PKWY, CALVERT CITY KENTUCKY 42029 (MARSHALL)","42029WSTLK2468I","              37.051","             -88.334","             399.7229480","          15,538.3484000","          15,938.0713480"
"2","OXY VINYLS LP LA PORTE VCM PLANT.2400 MILLER CUTOFF RD, LA PORTE TEXAS 77571 (HARRIS)","77571LPRTC2400M","              29.724","             -95.074","              26.8666190","          13,874.3061659","          13,901.1727849"
"3","CHEMICAL WASTE MANAGEMENT.36964 ALABAMA HWY 17, EMELLE ALABAMA 35459 (SUMTER)","35459CHMCLHWY17","              32.804","             -88.312","           6,167.6050000",".","           6,167.6050000"
"4","DOW CHEMICAL CO FREEPORT FACILITY.2301 N BRAZOSPORT BLVD, FREEPORT TEXAS 77541 (BRAZORIA)","77541THDWCBUILD","              28.979","             -95.355","           4,668.9168800",".","           4,668.9168800"
"5","US MAGNESIUM LLC.12819 N SKULL VALLEY RD, GRANTSVILLE UTAH 84029 (TOOELE)","84074MXMGNROWLE","              40.916","            -112.734","           3,310.5072329","             542.8520000","           3,853.3592329"
"6","INEOS PIGMENTS USA INC.2900 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)","44004SCMCH2900M","              41.894","             -80.749","           2,336.7396100",".","           2,336.7396100"
"7","US ECOLOGY TEXAS INC.3277 COUNTY RD 69, ROBSTOWN TEXAS 78380 (NUECES)","78380TXSCLPETRO","              27.731","             -97.652","           1,906.9340925",".","           1,906.9340925"
"8","VICKERY ENVIRONMENTAL INC..3956 STATE RT 412, VICKERY OHIO 43464 (SANDUSKY)","43464WSTMN3956S","              41.368","             -82.983","           1,814.0000000","               4.5300000","           1,818.5300000"
"9","CHEMOURS JOHNSONVILLE PLANT.1950 DU PONT RD, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)","37134DPNTJ1DUPO","              36.043","             -87.982","           1,034.5331500","                .0131400","           1,034.5462900"
"10","US ECOLOGY IDAHO INC..20400 LEMLEY RD, GRAND VIEW IDAHO 83624 (OWYHEE)","83624NVRSF1012M","              43.064","            -116.264","             645.4432354",".","             645.4432354"
"11","CHEMOURS DELISLE PLANT.7685 KILN DELISLE RD, PASS CHRISTIAN MISSISSIPPI 39571 (HARRISON)","39571DPNTD7685K","              30.389","             -89.309","             634.1399278","                .0005373","             634.1404651"
"12","GRAPHIC PACKAGING INTERNATIONAL LLC.9978 FARM MARKET RD 3129, QUEEN CITY TEXAS 75572 (CASS)","75504NTRNTPOBOX","              33.264","             -94.070","             550.5651000",".","             550.5651000"
"13","WESTLAKE VINYLS CO.36045 HWY 30, GEISMAR LOUISIANA 70734 (ASCENSION PARISH)","70734BRDNCLOUIS","              30.209","             -91.011","               2.4173140","             367.4053737","             369.8226877"
"14","REAL ALLOY RECYCLING LLC.388 WILLIAMSON DR, LOUDON TENNESSEE 37774 (LOUDON)","37774MTLRSBLAIR","              35.741","             -84.310","              17.3910000","             330.4400000","             347.8310000"
"15","TRONOX LLC.40034 TRONOX RD, HAMILTON MISSISSIPPI 39746 (MONROE)","39746KRRMCUSHWY","              33.731","             -88.453","             329.0830000",".","             329.0830000"
"16","SUPERIOR ALUMINUM ALLOYS LLC.14214 EDGERTON RD, NEW HAVEN INDIANA 46774 (ALLEN)","46774SPRRL14214","              41.079","             -84.957","               9.0360534","             293.0146199","             302.0506733"
"17","WAYNE DISPOSAL INC.49350 N I-94 SERVICE DR, BELLEVILLE MICHIGAN 48111 (WAYNE)","48111WYNDS49350","              42.219","             -83.523","             280.3532000",".","             280.3532000"
"18","FREEPORT_OLIN BC.2301 N BRAZOSPORT BLVD, FREEPORT TEXAS 77541 (BRAZORIA)","7754WBLCBP231NB","              28.969","             -95.380","             187.0200000","              77.4110000","             264.4310000"
"19","OCCIDENTAL CHEMICAL CORP.4133 HWY 361, GREGORY TEXAS 78359 (SAN PATRICIO)","78359CCDNTHWY36","              27.884","             -97.241","              22.3881962","             161.7006070","             184.0888032"
"20","WESTLAKE US 2 LLC.1300 PPG DR, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669PPGNDCOLUM","              30.224","             -93.287","              39.0222694","             111.6473340","             150.6696034"
"21","WESTLAKE CHEMICALS & VINYLS LLC.26100 HWY 405 S, PLAQUEMINE LOUISIANA 70764 (IBERVILLE PARISH)","70765GRGGLHIGHW","              30.262","             -91.186","               3.7642000","             141.8748000","             145.6390000"
"22","MATALCO.4499 COMMERCE DR, WISCONSIN RAPIDS WISCONSIN 54494 (WOOD)","5449WMTLCX48CMM","              44.405","             -89.777","             140.5200000",".","             140.5200000"
"23","REAL ALLOY RECYCLING LLC.267 N FILLMORE RD, COLDWATER MICHIGAN 49036 (BRANCH)","49036MCRCY267NO","              41.923","             -85.023","               6.8900000","              92.9700000","              99.8600000"
"24","GERDAU MACSTEEL MONROE.3000 E FRONT ST, MONROE MICHIGAN 48161 (MONROE)","48161NRTHS3000E","              41.897","             -83.362","                .4300000","              84.6400000","              85.0700000"
"25","SPECTRO ALLOYS CORP.13220 DOYLE PATH, ROSEMOUNT MINNESOTA 55068 (DAKOTA)","55068SPCTL13220","              44.758","             -93.011","               3.7774000","              76.5849000","              80.3623000"
"26","IMSAMET OF ARIZONA.3829 S ESTRELLA PKWY, GOODYEAR ARIZONA 85338 (MARICOPA)","85338MSMTF3829S","              33.412","            -112.392","               3.0900000","              58.3200000","              61.4100000"
"27","AUDUBON METALS LLC.3055 OHIO DR, HENDERSON KENTUCKY 42420 (HENDERSON)","42420DBNMT3055O","              37.809","             -87.633","               5.7300000","              50.7100000","              56.4400000"
"28","CENTURY FURNITURE CASEGOODS PLANT NO 1.420 12TH ST NW, HICKORY NORTH CAROLINA 28601 (CATAWBA)","28603CNTRY42012","              35.738","             -81.360","              52.5845000",".","              52.5845000"
"29","FORMOSA PLASTICS CORP LOUISIANA.GULF STATES RD, BATON ROUGE LOUISIANA 70805 (EAST BATON ROUGE PARISH)","70805FRMSPGULFS","              30.498","             -91.189","              36.5731240","              15.4815500","              52.0546740"
"30","DEER PARK REFINING LP.5900 HWY 225 EAST, DEER PARK TEXAS 77536 (HARRIS)","77536DRPRK5900H","              29.722","             -95.127","                .9700000","              46.0000000","              46.9700000"
"31","REAL ALLOY RECYCLING LLC.1508 N 8TH ST, SAPULPA OKLAHOMA 74066 (CREEK)","74066NTRNT15031","              36.016","             -96.109","               2.2750300","              43.2300000","              45.5050300"
"32","NOVELIS ALR ALUMINUM LLC - NOVELIS DAVENPORT CASTING.2101 J M.MORRIS BLVD, DAVENPORT IOWA 52802 (SCOTT)","52808NCHLS2101J","              41.497","             -90.646","               1.6120000","              36.9510000","              38.5630000"
"33","WEYERHAEUSER NR.105 MILLS DR, COLUMBIA FALLS MONTANA 59912 (FLATHEAD)","59912PLMCRPOBOX","              48.373","            -114.197","              38.0897843",".","              38.0897843"
"34","TENNESSEE ALUMINUM PROCESSORS INC.205 SPURLINE DR, GADSDEN ALABAMA 35903 (ETOWAH)","35903CLPLM205SP","              33.988","             -85.965","                .4259000","              35.8305000","              36.2564000"
"35","CLEVELAND-CLIFFS BURNS HARBOR LLC.250 W US HWY 12, BURNS HARBOR INDIANA 46304 (PORTER)","46304BTHLHBURNS","              41.634","             -87.131","              35.0022443",".","              35.0022443"
"36","NIPPON DYNAWAVE PACKAGING CO..3401 INDUSTRIAL WAY, LONGVIEW WASHINGTON 98632 (COWLITZ)","98632WYRHS3401I","              46.123","            -122.974","               6.5263217","              20.7682900","              27.2946117"
"37","REAL ALLOY RECYCLING LLC.283 INDUSTRIAL PARK ROAD, FRIENDLY WEST VIRGINIA 26146 (TYLER)","26146LMTCH3816S","              39.475","             -81.097","               1.3560000","              25.6000000","              26.9560000"
"38","INTERNATIONAL PAPER ORANGE MILL.1750 IP WAY, ORANGE TEXAS 77632 (ORANGE)","77630NLNDROLDHI","              30.193","             -93.798","              26.3174800",".","              26.3174800"
"39","IMCO RECYCLING OF OHIO LLC.7335 NEWPORT RD SE, UHRICHSVILLE OHIO 44683 (TUSCARAWAS)","44683MCRCY7335N","              40.369","             -81.347","               1.3200000","              24.3500000","              25.6700000"
"40","ESSITY PROFESSIONAL HYGIENE N.A. LLC.190 THIRD ST, MENASHA WISCONSIN 54952 (WINNEBAGO)","54952WSCNS3RDAN","              44.205","             -88.452","                .0000000","              22.6400000","              22.6400000"
"41","REAL ALLOY SPECIFICATION LLC.4525 W OLD 24, WABASH INDIANA 46992 (WABASH)","46992WBSHLOLDUS","              40.792","             -85.877","              21.2200000",".","              21.2200000"
"42","ROSS INCINERATION SERVICES INC.36790 GILES RD, GRAFTON OHIO 44044 (LORAIN)","44044RSSNC36790","              41.324","             -82.035","                .4150076","              20.4753088","              20.8903164"
"43","REAL ALLOY RECYCLING LLC.805 GARDNER LN, MORGANTOWN KENTUCKY 42261 (BUTLER)","42261MCRCY609GA","              37.207","             -86.719","              20.4444900",".","              20.4444900"
"44","LOUISIANA PIGMENT CO LP.3300 BAYOU D'INDE RD, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669KRNSL3300B","              30.196","             -93.307","              19.6179000","                .1156000","              19.7335000"
"45","INEOS PIGMENTS USA INC.2426 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)","44004SCMCH2426M","              41.889","             -80.764","              17.7168600",".","              17.7168600"
"46","STELLA-JONES CORP.13569 HWY 45, SCOOBA MISSISSIPPI 39358 (KEMPER)","39358KMPRPBOX10","              32.771","             -88.466","              17.1984000",".","              17.1984000"
"47","TENNESSEE ALUMINUM PROCESSORS INC.7207 HOOVER MASON RD, MOUNT PLEASANT TENNESSEE 38474 (MAURY)","38474TNNSSHOOVE","              35.547","             -87.185","                .1778000","              16.7765000","              16.9543000"
"48","SYLVAMO TICONDEROGA MILL.568 SHORE AIRPORT RD, TICONDEROGA NEW YORK 12883 (ESSEX)","12883NTRNTSHORE","              43.892","             -73.399","              16.5985000",".","              16.5985000"
"49","REAL ALLOY RECYCLING LLC.400 E LINCOLN HWY, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)","60411CLMBL400EA","              41.505","             -87.617","                .7500000","              14.0730000","              14.8230000"
"50","AUDUBON METALS TEXAS LLC.5200 EAST STATE HIGHWAY 31, CORSICANA TEXAS 75109 (NAVARRO)","7510WDBNMT52EAS","              32.106","             -96.383","               1.1100000","              13.6900000","              14.8000000"
"51","HICKORY CHAIR LLC.37 9TH ST PL SE, HICKORY NORTH CAROLINA 28602 (CATAWBA)","28601HCKRY379TH","              35.738","             -81.319","              14.1798700",".","              14.1798700"
"52","HYDRO ALUMINUM METALS USA LLC.5801 RIVERPORT RD, HENDERSON KENTUCKY 42420 (HENDERSON)","42420HYDRL5801R","              37.803","             -87.659","              13.1100000",".","              13.1100000"
"53","REPUBLIC INDUSTRIAL & ENERGY SOLUTIONS LLC.28470 CITRIN DR, ROMULUS MICHIGAN 48174 (WAYNE)","4817WRPBLC2847C","              42.245","             -83.312","              13.0000000",".","              13.0000000"
"54","TWIN RIVERS PINE BLUFF LLC.1701 JEFFERSON PKWY, WHITE HALL ARKANSAS 71602 (JEFFERSON)","7160WTWNRV171JE","              34.267","             -92.033","              12.9973000",".","              12.9973000"
"55","STATE METAL INDUSTRIES INC.941 S SECOND ST, CAMDEN NEW JERSEY 08103 (CAMDEN)","08103STTMT941SO","              39.934","             -75.128","                .9951000","              10.8363000","              11.8314000"
"56","EVERGREEN PACKAGING.5201 FAIRFIELD RD, PINE BLUFF ARKANSAS 71601 (JEFFERSON)","71611NTRNTFAIRF","              34.222","             -91.907","              11.4016000",".","              11.4016000"
"57","NOVELIS ALR ROLLED PRODUCTS INC.1701 REYMET RD, RICHMOND VIRGINIA 23237 (CHESTERFIELD)","23237TRNST1801R","              37.392","             -77.412","                .5590000","              10.6430000","              11.2020000"
"58","SASOL CHEMICALS (USA) LLC-LAKE CHARLES CHEMICAL COMPLEX.2201 OLD SPANISH TRAIL, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669VSTCHOLDSP","              30.259","             -93.294","                .9813000","              10.1810000","              11.1623000"
"59","REAL ALLOY RECYCLING LLC.16168 W PRAIRIE AVE, POST FALLS IDAHO 83854 (KOOTENAI)","83845MCRCYW4000","              47.742","            -117.005","              10.6200000",".","              10.6200000"
"60","GRAPHIC PACKAGING INTERNATIONAL LLC.100 GRAPHIC PACKAGING INTL WAY, MACON GEORGIA 31206 (BIBB)","31206MCNKR4891M","              32.772","             -83.628","              10.2925000","                .2072000","              10.4997000"
"61","SHELL NORCO CHEMICAL PLANT WEST SITE.16122 RIVER RD, NORCO LOUISIANA 70079 (ST. CHARLES PARISH)","70079SHLLL265RI","              30.005","             -90.423","                .0000000","              10.3677000","              10.3677000"
"62","MARCAL  MANUFACTURING LLC.1 MARKET ST, ELMWOOD PARK NEW JERSEY 07407 (BERGEN)","07407MRCLP1MARK","              40.902","             -74.132","                .0000000","              10.0340000","              10.0340000"
"63","INTERNATIONAL PAPER PENSACOLA MILL.375 MUSCOGEE RD, CANTONMENT FLORIDA 32533 (ESCAMBIA)","32533CHMPN375MU","              30.605","             -87.323","               9.9335608",".","               9.9335608"
"64","STELLA-JONES CORP.6040 HWY. 79 N., RISON ARKANSAS 71665 (CLEVELAND)","7166WTRTDM64HWY","              33.982","             -92.200","               7.8056000","               2.1248000","               9.9304000"
"65","IMPERIAL ALUMINUM-MINERVA LLC.217 ROOSEVELT ST, MINERVA OHIO 44657 (CARROLL)","44657MNRVL217RO","              40.722","             -81.112","               3.1059500","               6.7854700","               9.8914200"
"66","BASIN ELECTRIC LARAMIE RIVER STATION.347 GRAYROCKS RD, WHEATLAND WYOMING 82201 (PLATTE)","82201LRMRV347GR","              42.104","            -104.887","               9.3092000",".","               9.3092000"
"67","METALX ALUMINUM CONVERSIONS.50 DIMENSION AVE, WABASH INDIANA 46992 (WABASH)","46992GSMTL5DIME","              40.784","             -85.819","               9.0000000",".","               9.0000000"
"68","HYDRO EXTRUSION USA LLC.249 S 51ST AVE, PHOENIX ARIZONA 85043 (MARICOPA)","85043SCLMN249SO","              33.446","            -112.169","               8.9859000",".","               8.9859000"
"69","CAHABA PRESSURE TREATED FOREST PRODUCTS INC..12755 MONTEVALLO RD, BRIERFIELD ALABAMA 35035 (BIBB)","35035CHBPRRT1BO","              33.036","             -86.974","               8.8904000",".","               8.8904000"
"70","HYDRO EXTRUSION USA LLC.2500 ALUMAX RD, YANKTON SOUTH DAKOTA 57078 (YANKTON)","57078LMXXT2300A","              42.892","             -97.351","               8.8451000",".","               8.8451000"
"71","BUICK RESOURCE RECYCLING FACILITY LLC.18594 HWY KK, BOSS MISSOURI 65440 (IRON)","65440BCKSMHIGHW","              37.637","             -91.132","               8.7700000",".","               8.7700000"
"72","REAL ALLOY SPECIFICATION LLC.368 W GARFIELD AVE, COLDWATER MICHIGAN 49036 (BRANCH)","49036LCHML368WG","              41.928","             -85.022","                .4340000","               8.2900000","               8.7240000"
"73","INTERNATIONAL PAPER RIEGELWOOD MILL.865 JOHN L.RIEGEL RD, RIEGELWOOD NORTH CAROLINA 28456 (COLUMBUS)","28456FDRLPRIEGE","              34.352","             -78.213","               8.6989000",".","               8.6989000"
"74","BOSWELL ENERGY CENTER.1210 NW 3RD ST, COHASSET MINNESOTA 55721 (ITASCA)","55721BSWLL1200N","              47.261","             -93.653","               8.6480000",".","               8.6480000"
"75","SOUTHWIRE CO KENTUCKY PLANT.1987 KY 3543, HAWESVILLE KENTUCKY 42348 (HANCOCK)","42348NTNLSINTER","              37.941","             -86.783","               8.3702000",".","               8.3702000"
"76","BASIN ELECTRIC ANTELOPE VALLEY STATION.420 COUNTY RD 26, BEULAH NORTH DAKOTA 58523 (MERCER)","58523NTLPV294CO","              47.370","            -101.838","               8.0356910",".","               8.0356910"
"77","INTERNATIONAL PAPER CO.890 IP LN, VALLIANT OKLAHOMA 74764 (MCCURTAIN)","74764WYRHSHIGHW","              33.998","             -95.112","               8.0147480",".","               8.0147480"
"78","OWL'S HEAD ALLOYS INC..187 MITCH MCCONNELL WAY, BOWLING GREEN KENTUCKY 42101 (WARREN)","42101WLSHD187MI","              36.931","             -86.506","               2.4000000","               5.6000000","               8.0000000"
"79","EVRAZ ROCKY MOUNTAIN STEEL.2100 S FWY, PUEBLO COLORADO 81004 (PUEBLO)","81004CFSTL225CA","              38.233","            -104.607","               7.8950000",".","               7.8950000"
"80","GAVIN POWER LLC.7397 N STATE RT 7, CHESHIRE OHIO 45620 (GALLIA)","45620MRCNL7397N","              38.935","             -82.116","               7.8455572",".","               7.8455572"
"81","PUEBLO CHEMICAL AGENT DESTRUCTION PILOT PLANT.45825 HIGHWAY 96 EAST, PUEBLO COLORADO 81006 (PUEBLO)","8100WPBLCH45852","              38.229","            -104.614","                .0000000","               7.6700000","               7.6700000"
"82","RAYONIER PERFORMANCE FIBERS JESUP MILL.4470 SAVANNAH HWY, JESUP GEORGIA 31545 (WAYNE)","31545TTRYNSAVAN","              31.658","             -81.841","               7.5233285",".","               7.5233285"
"83","BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE.21255 HIGHWAY 1, PLAQUEMINE LOUISIANA 70764 (IBERVILLE PARISH)","7076WBLCBP21255","              30.314","             -91.241","               7.1453000","                .2243000","               7.3696000"
"84","BONNELL ALUMINUM INC..HWY 53 BONNELL RD, CARTHAGE TENNESSEE 37030 (SMITH)","37030WLLMLHWY53","              36.204","             -85.942","               7.1428800",".","               7.1428800"
"85","GRAPHIC PACKAGING INTERNATIONAL LLC.4278 MIKE PADGETT HWY, AUGUSTA GEORGIA 30906 (RICHMOND)","30913FDRLPHIGHW","              33.329","             -81.954","               7.0053660",".","               7.0053660"
"86","WESTERN ZIRCONIUM.10,000 W 900 S, OGDEN UTAH 84404 (WEBER)","84404WSTRN10000","              41.260","            -112.231","                .1236000","               6.7697000","               6.8933000"
"87","CUSTOM ALLOY SALES INC..13329 ECTOR ST, CITY OF INDUSTRY CALIFORNIA 91746 (LOS ANGELES)","91746LGHTM13329","              34.057","            -117.988","                .0689100","               6.8235000","               6.8924100"
"88","SPRINGERVILLE GENERATING STATION.12 MILES N 12 MILES E, SPRINGERVILLE ARIZONA 85938 (APACHE)","85938SPRNG12MIL","              34.319","            -109.164","               6.6114050",".","               6.6114050"
"89","MCFARLAND CASCADE POLE & LUMBER CO.1640 E MARC AVE, TACOMA WASHINGTON 98421 (PIERCE)","98421CSCDP1640E","              47.256","            -122.413","                .2039000","               6.3904000","               6.5943000"
"90","NOVELIS CORP-GREENSBORO.1261 WILLOW RUN RD, GREENSBORO GEORGIA 30642 (GREENE)","30642LCNNGWILLO","              33.560","             -83.198","               6.5332580",".","               6.5332580"
"91","WESTROCK TEXAS LP.1913 FM 105, EVADALE TEXAS 77615 (JASPER)","77656PLPPPPOBOX","              30.339","             -94.066","               6.5298895",".","               6.5298895"
"92","NOVELIS INC.302 MAYDE RD, BEREA KENTUCKY 40403 (MADISON)","40403LCNRC302MA","              37.602","             -84.309","               6.5000000","                .0005830","               6.5005830"
"93","THE DOW CHEMICAL CO - LOUISIANA OPERATIONS.21255 LA HWY 1 S, PLAQUEMINE LOUISIANA 70764 (IBERVILLE PARISH)","70765THDWCHIGHW","              30.321","             -91.239","               6.3950000",".","               6.3950000"
"94","SCEPTER INC.1485 SCEPTER LN, WAVERLY TENNESSEE 37185 (HUMPHREYS)","37185SCPTR1485S","              36.075","             -87.949","               6.2930000",".","               6.2930000"
"95","COLSTRIP STEAM ELECTRIC STATION.WILLOW AVE, COLSTRIP MONTANA 59323 (ROSEBUD)","59323MNTNPWILLO","              45.883","            -106.613","               6.2665000",".","               6.2665000"
"96","CMC STEEL TENNESSEE.1919 TENNESSEE AVE, KNOXVILLE TENNESSEE 37921 (KNOX)","37921FLRDS1919T","              35.978","             -83.956","               6.0800000",".","               6.0800000"
"97","WESTLAKE CHEMICALS & VINYLS LLC.1600 VCM PLANT RD, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669GRGGL1600V","              30.252","             -93.284","               1.1456000","               4.7812770","               5.9268770"
"98","ARCONIC DAVENPORT LLC.4879 STATE ST, BETTENDORF IOWA 52722 (SCOTT)","52808LMNMCHIGHW","              41.531","             -90.468","               5.7900000",".","               5.7900000"
"99","FRENCH ISLAND PLANT.200 S BAINBRIDGE ST, LA CROSSE WISCONSIN 54603 (LA CROSSE)","54603NRTHR200SB","              43.829","             -91.260","               5.4200000","                .0000000","               5.4200000"
"100","CLEARWATER PAPER CORP.5082 HWY 4 N, ARKANSAS CITY ARKANSAS 71630 (DESHA)","71654PTLTCHIGHW","              33.707","             -91.236","               5.3942000",".","               5.3942000"
" ","Total of Top 100 facilities","100"," "," ","          25,186.4843845","          32,250.4798566","          57,436.9642411"
"Dioxin and Dioxin-like Compounds Toxicity Equivalent Weight (in grams), top 100 facilities (of 698) for  facilities in All Industries,U.S., 2022"
"Row #","Facility","TRIF ID","Latitude","Longitude","Total On-site","Total Off-site","Total On- and "
" "," "," "," "," ","Disposal or","Disposal or","Off-site"
" "," "," "," "," ","Other Releases","Other Releases","Disposal or"
" "," "," "," "," ","","","Other Releases"
"1","CHEMICAL WASTE MANAGEMENT.36964 ALABAMA HWY 17, EMELLE ALABAMA 35459 (SUMTER)","35459CHMCLHWY17","              32.804","             -88.312","              41.8804500","                .0000000","              41.8804500"
"2","WESTLAKE VINYLS INC.2468 IND US TRIAL PKWY, CALVERT CITY KENTUCKY 42029 (MARSHALL)","42029WSTLK2468I","              37.051","             -88.334","                .9553958","              40.3283501","              41.2837459"
"3","REAL ALLOY RECYCLING LLC.388 WILLIAMSON DR, LOUDON TENNESSEE 37774 (LOUDON)","37774MTLRSBLAIR","              35.741","             -84.310","               1.8598236","              35.3290620","              37.1888856"
"4","SUPERIOR ALUMINUM ALLOYS LLC.14214 EDGERTON RD, NEW HAVEN INDIANA 46774 (ALLEN)","46774SPRRL14214","              41.079","             -84.957","                .9422957","              30.5560839","              31.4983796"
"5","WAYNE DISPOSAL INC.49350 N I-94 SERVICE DR, BELLEVILLE MICHIGAN 48111 (WAYNE)","48111WYNDS49350","              42.219","             -83.523","              20.4425919","                .0000000","              20.4425919"
"6","REAL ALLOY RECYCLING LLC.267 N FILLMORE RD, COLDWATER MICHIGAN 49036 (BRANCH)","49036MCRCY267NO","              41.923","             -85.023","               1.1647450","              15.8128180","              16.9775630"
"7","WESTLAKE VINYLS CO.36045 HWY 30, GEISMAR LOUISIANA 70734 (ASCENSION PARISH)","70734BRDNCLOUIS","              30.209","             -91.011","                .5143248","              16.4401164","              16.9544412"
"8","US MAGNESIUM LLC.12819 N SKULL VALLEY RD, GRANTSVILLE UTAH 84029 (TOOELE)","84074MXMGNROWLE","              40.916","            -112.734","              13.1115393","                .1796001","              13.2911394"
