"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 21752) for  facilities in All Industries, for  All chemicals,   U.S., 2022"
"9","FREEPORT_OLIN BC.2301 N BRAZOSPORT BLVD, FREEPORT TEXAS 77541 (BRAZORIA)","7754WBLCBP231NB","              28.969","             -95.380","               9.6136839","               3.1224273","              12.7361112"
"10","OXY VINYLS LP LA PORTE VCM PLANT.2400 MILLER CUTOFF RD, LA PORTE TEXAS 77571 (HARRIS)","77571LPRTC2400M","              29.724","             -95.074","                .0437742","               9.5928342","               9.6366084"
"11","IMSAMET OF ARIZONA.3829 S ESTRELLA PKWY, GOODYEAR ARIZONA 85338 (MARICOPA)","85338MSMTF3829S","              33.412","            -112.392","                .4705210","               8.9967660","               9.4672870"
"12","US ECOLOGY TEXAS INC.3277 COUNTY RD 69, ROBSTOWN TEXAS 78380 (NUECES)","78380TXSCLPETRO","              27.731","             -97.652","               8.9851378","                .0000000","               8.9851378"
"13","AUDUBON METALS LLC.3055 OHIO DR, HENDERSON KENTUCKY 42420 (HENDERSON)","42420DBNMT3055O","              37.809","             -87.633","                .7959127","               7.4706182","               8.2665309"
"14","EVRAZ ROCKY MOUNTAIN STEEL.2100 S FWY, PUEBLO COLORADO 81004 (PUEBLO)","81004CFSTL225CA","              38.233","            -104.607","               7.8950000","                .0000000","               7.8950000"
"15","REAL ALLOY RECYCLING LLC.1508 N 8TH ST, SAPULPA OKLAHOMA 74066 (CREEK)","74066NTRNT15031","              36.016","             -96.109","                .3936268","               7.4780260","               7.8716528"
"16","SPECTRO ALLOYS CORP.13220 DOYLE PATH, ROSEMOUNT MINNESOTA 55068 (DAKOTA)","55068SPCTL13220","              44.758","             -93.011","                .2343424","               6.6609433","               6.8952857"
"17","CMC STEEL TENNESSEE.1919 TENNESSEE AVE, KNOXVILLE TENNESSEE 37921 (KNOX)","37921FLRDS1919T","              35.978","             -83.956","               6.0800000","                .0000000","               6.0800000"
"18","CENTURY FURNITURE CASEGOODS PLANT NO 1.420 12TH ST NW, HICKORY NORTH CAROLINA 28601 (CATAWBA)","28603CNTRY42012","              35.738","             -81.360","               5.0883015","                .0000000","               5.0883015"
"19","CHEMOURS JOHNSONVILLE PLANT.1950 DU PONT RD, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)","37134DPNTJ1DUPO","              36.043","             -87.982","               4.8879513","                .0000609","               4.8880122"
"20","DOW CHEMICAL CO FREEPORT FACILITY.2301 N BRAZOSPORT BLVD, FREEPORT TEXAS 77541 (BRAZORIA)","77541THDWCBUILD","              28.979","             -95.355","               4.1173428","                .0000000","               4.1173428"
"21","NOVELIS ALR ALUMINUM LLC - NOVELIS DAVENPORT CASTING.2101 J M.MORRIS BLVD, DAVENPORT IOWA 52802 (SCOTT)","52808NCHLS2101J","              41.497","             -90.646","                .1946356","               3.7790390","               3.9736746"
"22","IMCO RECYCLING OF OHIO LLC.7335 NEWPORT RD SE, UHRICHSVILLE OHIO 44683 (TUSCARAWAS)","44683MCRCY7335N","              40.369","             -81.347","                .2005631","               3.7143260","               3.9148891"
"23","WESTLAKE US 2 LLC.1300 PPG DR, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669PPGNDCOLUM","              30.224","             -93.287","               2.5957379","               1.0925509","               3.6882888"
"24","INEOS PIGMENTS USA INC.2900 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)","44004SCMCH2900M","              41.894","             -80.749","               3.6683844","                .0000000","               3.6683844"
"25","REAL ALLOY RECYCLING LLC.283 INDUSTRIAL PARK ROAD, FRIENDLY WEST VIRGINIA 26146 (TYLER)","26146LMTCH3816S","              39.475","             -81.097","                .1840986","               3.4626489","               3.6467475"
"26","CLEVELAND-CLIFFS BURNS HARBOR LLC.250 W US HWY 12, BURNS HARBOR INDIANA 46304 (PORTER)","46304BTHLHBURNS","              41.634","             -87.131","               3.5338563","                .0000000","               3.5338563"
"27","INTERNATIONAL PAPER ORANGE MILL.1750 IP WAY, ORANGE TEXAS 77632 (ORANGE)","77630NLNDROLDHI","              30.193","             -93.798","               3.4705384","                .0000000","               3.4705384"
"28","TENNESSEE ALUMINUM PROCESSORS INC.205 SPURLINE DR, GADSDEN ALABAMA 35903 (ETOWAH)","35903CLPLM205SP","              33.988","             -85.965","                .0356547","               3.0004841","               3.0361388"
"29","REAL ALLOY SPECIFICATION LLC.4525 W OLD 24, WABASH INDIANA 46992 (WABASH)","46992WBSHLOLDUS","              40.792","             -85.877","               2.9881130","                .0000000","               2.9881130"
"30","CHEMOURS DELISLE PLANT.7685 KILN DELISLE RD, PASS CHRISTIAN MISSISSIPPI 39571 (HARRISON)","39571DPNTD7685K","              30.389","             -89.309","               2.8797056","                .0000019","               2.8797075"
"31","TENNESSEE ALUMINUM PROCESSORS INC.7207 HOOVER MASON RD, MOUNT PLEASANT TENNESSEE 38474 (MAURY)","38474TNNSSHOOVE","              35.547","             -87.185","                .0270460","               2.6462474","               2.6732934"
"32","REAL ALLOY RECYCLING LLC.805 GARDNER LN, MORGANTOWN KENTUCKY 42261 (BUTLER)","42261MCRCY609GA","              37.207","             -86.719","               2.4880872","                .0000000","               2.4880872"
"33","REAL ALLOY RECYCLING LLC.400 E LINCOLN HWY, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)","60411CLMBL400EA","              41.505","             -87.617","                .1250060","               2.3375901","               2.4625961"
"34","AUDUBON METALS TEXAS LLC.5200 EAST STATE HIGHWAY 31, CORSICANA TEXAS 75109 (NAVARRO)","7510WDBNMT52EAS","              32.106","             -96.383","                .1645755","               2.0766863","               2.2412618"
"35","KAISER ALUMINUM WARRICK.4000 W STATE ROUTE 66, NEWBURGH INDIANA 47630 (WARRICK)","4763WKSRLM4WSTA","              37.932","             -87.325","               1.6861496","                .0000000","               1.6861496"
"36","NIPPON DYNAWAVE PACKAGING CO..3401 INDUSTRIAL WAY, LONGVIEW WASHINGTON 98632 (COWLITZ)","98632WYRHS3401I","              46.123","            -122.974","                .1500457","               1.4969206","               1.6469663"
"37","OWL'S HEAD ALLOYS INC..187 MITCH MCCONNELL WAY, BOWLING GREEN KENTUCKY 42101 (WARREN)","42101WLSHD187MI","              36.931","             -86.506","                .4918051","               1.1475299","               1.6393350"
"38","LOUISIANA PIGMENT CO LP.3300 BAYOU D'INDE RD, WESTLAKE LOUISIANA 70669 (CALCASIEU PARISH)","70669KRNSL3300B","              30.196","             -93.307","               1.6204987","                .0006582","               1.6211569"
"39","HYDRO ALUMINUM METALS USA LLC.5801 RIVERPORT RD, HENDERSON KENTUCKY 42420 (HENDERSON)","42420HYDRL5801R","              37.803","             -87.659","               1.5759454","                .0000000","               1.5759454"
"40","NOVELIS ALR ROLLED PRODUCTS INC.1701 REYMET RD, RICHMOND VIRGINIA 23237 (CHESTERFIELD)","23237TRNST1801R","              37.392","             -77.412","                .0760990","               1.4521746","               1.5282736"
"41","REAL ALLOY RECYCLING LLC.16168 W PRAIRIE AVE, POST FALLS IDAHO 83854 (KOOTENAI)","83845MCRCYW4000","              47.742","            -117.005","               1.5053490","                .0000000","               1.5053490"
"42","SOUTHWIRE CO KENTUCKY PLANT.1987 KY 3543, HAWESVILLE KENTUCKY 42348 (HANCOCK)","42348NTNLSINTER","              37.941","             -86.783","               1.4167764","                .0000000","               1.4167764"
"43","IMPERIAL ALUMINUM-MINERVA LLC.217 ROOSEVELT ST, MINERVA OHIO 44657 (CARROLL)","44657MNRVL217RO","              40.722","             -81.112","                .4343911","                .9490149","               1.3834060"
"44","HICKORY CHAIR LLC.37 9TH ST PL SE, HICKORY NORTH CAROLINA 28602 (CATAWBA)","28601HCKRY379TH","              35.738","             -81.319","               1.3721009","                .0000000","               1.3721009"
"45","OCCIDENTAL CHEMICAL CORP.4133 HWY 361, GREGORY TEXAS 78359 (SAN PATRICIO)","78359CCDNTHWY36","              27.884","             -97.241","                .4047597","                .9467077","               1.3514674"
"46","REAL ALLOY SPECIFICATION LLC.368 W GARFIELD AVE, COLDWATER MICHIGAN 49036 (BRANCH)","49036LCHML368WG","              41.928","             -85.022","                .1307967","               1.2019510","               1.3327477"
"47","DEER PARK REFINING LP.5900 HWY 225 EAST, DEER PARK TEXAS 77536 (HARRIS)","77536DRPRK5900H","              29.722","             -95.127","                .0469178","               1.2784290","               1.3253468"
"48","STATE METAL INDUSTRIES INC.941 S SECOND ST, CAMDEN NEW JERSEY 08103 (CAMDEN)","08103STTMT941SO","              39.934","             -75.128","                .1105101","               1.2026802","               1.3131903"
"49","GRAPHIC PACKAGING INTERNATIONAL LLC.9978 FARM MARKET RD 3129, QUEEN CITY TEXAS 75572 (CASS)","75504NTRNTPOBOX","              33.264","             -94.070","               1.1676962","                .0000000","               1.1676962"
"50","INTERNATIONAL PAPER CO.890 IP LN, VALLIANT OKLAHOMA 74764 (MCCURTAIN)","74764WYRHSHIGHW","              33.998","             -95.112","               1.1429559","                .0000000","               1.1429559"
"51","BUICK RESOURCE RECYCLING FACILITY LLC.18594 HWY KK, BOSS MISSOURI 65440 (IRON)","65440BCKSMHIGHW","              37.637","             -91.132","               1.0805788","                .0000000","               1.0805788"
"52","FORMOSA PLASTICS CORP LOUISIANA.GULF STATES RD, BATON ROUGE LOUISIANA 70805 (EAST BATON ROUGE PARISH)","70805FRMSPGULFS","              30.498","             -91.189","                .9224015","                .1485249","               1.0709264"
"53","TRONOX LLC.40034 TRONOX RD, HAMILTON MISSISSIPPI 39746 (MONROE)","39746KRRMCUSHWY","              33.731","             -88.453","                .9166747","                .0000000","                .9166747"
"54","HYDRO EXTRUSION USA LLC.249 S 51ST AVE, PHOENIX ARIZONA 85043 (MARICOPA)","85043SCLMN249SO","              33.446","            -112.169","                .9109448","                .0000000","                .9109448"
"55","HYDRO EXTRUSION USA LLC.2500 ALUMAX RD, YANKTON SOUTH DAKOTA 57078 (YANKTON)","57078LMXXT2300A","              42.892","             -97.351","                .8878447","                .0000000","                .8878447"
"56","SCEPTER INC.1485 SCEPTER LN, WAVERLY TENNESSEE 37185 (HUMPHREYS)","37185SCPTR1485S","              36.075","             -87.949","                .8270135","                .0000000","                .8270135"
"57","ROSS INCINERATION SERVICES INC.36790 GILES RD, GRAFTON OHIO 44044 (LORAIN)","44044RSSNC36790","              41.324","             -82.035","                .0561871","                .7375920","                .7937791"
"58","ARCONIC DAVENPORT LLC.4879 STATE ST, BETTENDORF IOWA 52722 (SCOTT)","52808LMNMCHIGHW","              41.531","             -90.468","                .7302704","                .0000000","                .7302704"
"59","MARTIN MARIETTA MAGNESIA SPECIALTIES WOODVILLE.755 LIME RD, WOODVILLE OHIO 43469 (SANDUSKY)","43469MRTNM755LI","              41.463","             -83.367","                .7013040","                .0000000","                .7013040"
"60","HYDRO EXTRUSION USA LLC. CRESSONA OPERATION.53 POTTSVILLE ST, CRESSONA PENNSYLVANIA 17929 (SCHUYLKILL)","17929CRSSNPOTTS","              40.633","             -76.188","                .6820009","                .0000000","                .6820009"
"61","CUSTOM ALLOY SALES INC..13329 ECTOR ST, CITY OF INDUSTRY CALIFORNIA 91746 (LOS ANGELES)","91746LGHTM13329","              34.057","            -117.988","                .0066208","                .6554892","                .6621100"
"62","WESTLAKE CHEMICALS & VINYLS LLC.26100 HWY 405 S, PLAQUEMINE LOUISIANA 70764 (IBERVILLE PARISH)","70765GRGGLHIGHW","              30.262","             -91.186","                .0821582","                .5625681","                .6447263"
"63","NOVELIS CORP-GREENSBORO.1261 WILLOW RUN RD, GREENSBORO GEORGIA 30642 (GREENE)","30642LCNNGWILLO","              33.560","             -83.198","                .6369634","                .0000000","                .6369634"
"64","WAELZ SUSTAINABLE PRODUCTS LLC.3440 W CR 300 S, LOGANSPORT INDIANA 46947 (CASS)","4694WWLZSS344WC","              40.722","             -86.442","                .6037360","                .0000000","                .6037360"
"65","GRAPHIC PACKAGING INTERNATIONAL LLC.100 GRAPHIC PACKAGING INTL WAY, MACON GEORGIA 31206 (BIBB)","31206MCNKR4891M","              32.772","             -83.628","                .5790847","                .0085811","                .5876658"
"66","OHIO VALLEY ALUMINUM CO INC.1100 BROOKS IND US TRIAL RD, SHELBYVILLE KENTUCKY 40065 (SHELBY)","40065HVLLY1100I","              38.209","             -85.257","                .0501283","                .5012827","                .5514110"
"67","SCEPTER INC.6467 N SCEPTER RD, BICKNELL INDIANA 47512 (KNOX)","47512SCPTRKNOXC","              38.771","             -87.328","                .1569146","                .3622106","                .5191252"
"68","DOMTAR PAPER CO LLC HAWESVILLE MILL.58 WESCOR RD, HAWESVILLE KENTUCKY 42348 (HANCOCK)","42348WLLMTPOBOX","              37.895","             -86.686","                .5034811","                .0000000","                .5034811"
"69","EASTMAN CHEMICAL CO TENNESSEE OPERATIONS.100 EASTMAN RD, KINGSPORT TENNESSEE 37660 (SULLIVAN)","37662TNNSSEASTM","              36.527","             -82.539","                .4957544","                .0000000","                .4957544"
"70","FRENCH ISLAND PLANT.200 S BAINBRIDGE ST, LA CROSSE WISCONSIN 54603 (LA CROSSE)","54603NRTHR200SB","              43.829","             -91.260","                .4836990","                .0000000","                .4836990"
"71","CLEARWATER PAPER CORP-PPD & CPD IDAHO.803 MILL RD, LEWISTON IDAHO 83501 (NEZ PERCE)","83501PTLTC805MI","              46.427","            -116.967","                .4750513","                .0000000","                .4750513"
"72","BOSWELL ENERGY CENTER.1210 NW 3RD ST, COHASSET MINNESOTA 55721 (ITASCA)","55721BSWLL1200N","              47.261","             -93.653","                .4659796","                .0000000","                .4659796"
"73","HYDRO ALUMINUM.2000 ECONOMIC DR, COMMERCE TEXAS 75428 (HUNT)","75428HYDRL2000E","              33.225","             -95.887","                .4594066","                .0000000","                .4594066"
"74","IMPERIAL ALUMINUM-SCOTTSBORO LLC..7525 ROY OWENS BLVD, SCOTTSBORO ALABAMA 35769 (JACKSON)","35769LMNMN7525R","              34.613","             -86.087","                .1433020","                .3130736","                .4563756"
"75","USS GARY WORKS.1 N BROADWAY, GARY INDIANA 46402 (LAKE)","46402SSGRYONENO","              41.613","             -87.311","                .4380080","                .0000000","                .4380080"
"76","BUZZI UNICEM USA-CAPE GIRARDEAU.2524 S SPRIGG ST, CAPE GIRARDEAU MISSOURI 63703 (CAPE GIRARDEAU)","63701LNSTR2524S","              37.268","             -89.539","                .4181772","                .0000000","                .4181772"
"77","INEOS PIGMENTS USA INC.2426 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)","44004SCMCH2426M","              41.889","             -80.764","                .4056168","                .0000000","                .4056168"
"78","SCEPTER NEW YORK INC..11 LAMB RD, SENECA FALLS NEW YORK 13148 (SENECA)","13148SCPTR11LAM","              42.921","             -76.788","                .1208651","                .2821108","                .4029759"
"79","BASIN ELECTRIC LARAMIE RIVER STATION.347 GRAYROCKS RD, WHEATLAND WYOMING 82201 (PLATTE)","82201LRMRV347GR","              42.104","            -104.887","                .3423822","                .0000000","                .3423822"
"80","BONNELL ALUMINUM INC..HWY 53 BONNELL RD, CARTHAGE TENNESSEE 37030 (SMITH)","37030WLLMLHWY53","              36.204","             -85.942","                .3274617","                .0000000","                .3274617"
"81","BASIN ELECTRIC ANTELOPE VALLEY STATION.420 COUNTY RD 26, BEULAH NORTH DAKOTA 58523 (MERCER)","58523NTLPV294CO","              47.370","            -101.838","                .3150466","                .0000000","                .3150466"
"82","COMMONWEALTH ROLLED PRODUCTS INC.1372 KY HWY 1957, LEWISPORT KENTUCKY 42351 (HANCOCK)","42351CMMNWKYHWY","              37.951","             -86.846","                .0152857","                .2891916","                .3044773"
"83","SAPPI CLOQUET LLC.2201 AVE B, CLOQUET MINNESOTA 55720 (CARLTON)","55720PTLTCNORTH","              46.724","             -92.432","                .2971629","                .0000000","                .2971629"
"84","US ECOLOGY IDAHO INC..20400 LEMLEY RD, GRAND VIEW IDAHO 83624 (OWYHEE)","83624NVRSF1012M","              43.064","            -116.264","                .2964332","                .0000000","                .2964332"
"85","GAVIN POWER LLC.7397 N STATE RT 7, CHESHIRE OHIO 45620 (GALLIA)","45620MRCNL7397N","              38.935","             -82.116","                .2884301","                .0000000","                .2884301"
"86","HOLCIM (US) INC-THEODORE AL PLANT.3051 HAMILTON BLVD, THEODORE ALABAMA 36582 (MOBILE)","36590DLBSC3051H","              30.535","             -88.112","                .2849958","                .0000000","                .2849958"
"87","GEORGIA-PACIFIC WAUNA LLC.92326 TAYLORVILLE RD, CLATSKANIE OREGON 97016 (CLATSOP)","97016JMSRVWAUNA","              46.157","            -123.408","                .2567639","                .0000000","                .2567639"
"88","SPRINGERVILLE GENERATING STATION.12 MILES N 12 MILES E, SPRINGERVILLE ARIZONA 85938 (APACHE)","85938SPRNG12MIL","              34.319","            -109.164","                .2431241","                .0000000","                .2431241"
"89","ESSITY PROFESSIONAL HYGIENE N.A. LLC.190 THIRD ST, MENASHA WISCONSIN 54952 (WINNEBAGO)","54952WSCNS3RDAN","              44.205","             -88.452","                .0000000","                .2413400","                .2413400"
"90","SANDERS LEAD CO INC..1 SANDERS RD, TROY ALABAMA 36079 (PIKE)","36081SNDRSHENDE","              31.788","             -85.978","                .2358087","                .0000000","                .2358087"
"91","BERMCO ALUMN.616 33RD PL N, BIRMINGHAM ALABAMA 35222 (JEFFERSON)","35222BRMCL616NO","              33.529","             -86.790","                .0190476","                .2031513","                .2221989"
"92","KAISER ALUMINUM FABRICATED PRODUCTS LLC..600 KAISER DR, HEATH OHIO 43056 (LICKING)","43056KSRLMROUTE","              40.013","             -82.463","                .2208582","                .0000000","                .2208582"
"93","COLSTRIP STEAM ELECTRIC STATION.WILLOW AVE, COLSTRIP MONTANA 59323 (ROSEBUD)","59323MNTNPWILLO","              45.883","            -106.613","                .2173011","                .0000000","                .2173011"
"94","OCCIDENTAL CHEMICAL CORP.266 HWY 3142, HAHNVILLE LOUISIANA 70057 (ST. CHARLES PARISH)","70057CCDNTLAHWY","              29.974","             -90.459","                .1376574","                .0694087","                .2070661"
"95","WEYERHAEUSER NR.105 MILLS DR, COLUMBIA FALLS MONTANA 59912 (FLATHEAD)","59912PLMCRPOBOX","              48.373","            -114.197","                .2053150","                .0000000","                .2053150"
"96","DOMTAR PAPER CO.585 WILLAMETTE RD, BENNETTSVILLE SOUTH CAROLINA 29512 (MARLBORO)","29512WLLMTHWY91","              34.605","             -79.775","                .2004199","                .0000000","                .2004199"
"97","CERTAINTEED LLC.11519 US RT 250 N, MILAN OHIO 44846 (ERIE)","44846CRTNT11519","              41.326","             -82.622","                .1968365","                .0000000","                .1968365"
"98","LOGAN ALUMINUM INC.US HWY 431 N, RUSSELLVILLE KENTUCKY 42276 (LOGAN)","42276LGNLMPOBOX","              36.943","             -86.937","                .1908104","                .0000000","                .1908104"
"99","BASIN ELECTRIC  LELAND OLDS STATION.3901 HWY 200A, STANTON NORTH DAKOTA 58571 (MERCER)","58571LLNDL3901H","              47.282","            -101.319","                .1906037","                .0000000","                .1906037"
"100","SMELTER SERVICE CORP.400 ARROW MINES RD, MOUNT PLEASANT TENNESSEE 38474 (MAURY)","38474SMLTRARROW","              35.527","             -87.206","                .0559514","                .1304430","                .1863944"
"Reporting year (RY) 2022 is the most recent TRI data available. Facilities reporting to TRI were required to submit their data to EPA by July 1 for the previous calendar year's activities.  TRI Explorer is using the 2022 Dataset (released October 2023). This dataset includes revisions for the years 1988 to 2022 processed by EPA. Revisions submitted to EPA after this time are not reflected in TRI Explorer reports."
"Users of TRI information should be aware that TRI data reflect releases and other waste management activities of chemicals, not whether (or to what degree) the public has been exposed to those chemicals. Release estimates alone are not sufficient to determine exposure or to calculate potential adverse effects on human health and the environment. TRI data, in conjunction with other information, can be used as a starting point in evaluating exposures that may result from releases and other waste management activities which involve toxic chemicals. The determination of potential risk depends upon many factors, including the toxicity of the chemical, the fate of the chemical, and the amount and duration of human or other exposure to the chemical after it is released. "
"This report ranks the 100 largest facilities reporting in a particular disposal or other release category (by default, the report ranks the top 100 facilities by total on- and off-site disposal or other releases). By sorting on different disposal or other release categories (e.g., Class I Wells, RCRA Subtitle C Landfills, etc.), TRI Explorer will generate a report ranking the top 100 facilities for the specific category chosen. Note that the top 100 facilities ranked for a specific category will change as the category changes (i.e., the 100 facilities ranked for Class I Wells is not necessarily the same 100 facilities for RCRA Subtitle C Landfills)."
"For purposes of analysis, data reported as Range Code A is calculated using a value of 5 pounds, Range Code B is calculated using a value of 250 pounds and Range Code C is calculated using a value of 750 pounds."
"The facility may have reported multiple NAICS codes to TRI in the current reporting year. See the facility profile report by clicking on the facility name to see a list of all NAICS codes submitted to TRI for the current reporting year."
"A decimal point, or . denotes that 
the facility left that particular cell blank in its Form R submission (a zero in a cell denotes either that the facility reported 0 or NA in its Form R submission). 
NA in a cell denotes that the facility has submitted only Form A and thus the data for release, waste transfers or quantities of TRI chemicals in waste are not applicable. By submitting a Form A the facility has certified that its total annual reportable amount is less than 500 pounds, and that the facility does not manufacture, process, or otherwise use more than 1 million pounds of the toxic chemical."
"<u>How to cite TRI Explorer.</u>    Following APA Style, 6th edition, an appropriate citation to TRI Explorer is:<br/>United States Environmental Protection Agency. (2024). <i>TRI Explorer</i> (2022 Dataset (released October 2023)) [Internet database]. Retrieved from <a href=https://enviro.epa.gov/triexplorer/tri_release.chemical>https://enviro.epa.gov/triexplorer/</a>, (January  11, 2024)."
